date,Usage_kWh,Lagging_Current_Reactive_Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2_tCO2_,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,DateTime,Temperature_C,Humidity_Pct
01/01/2018 00:15,3.17,2.95,0.0,0.0,73.21,100.0,2018-01-01T00:15:00.0,-12.3,91.2
01/01/2018 00:30,4.0,4.46,0.0,0.0,66.77,100.0,2018-01-01T00:30:00.0,-9.8,82.8
01/01/2018 00:45,3.24,3.28,0.0,0.0,70.28,100.0,2018-01-01T00:45:00.0,-9.7,86.0
01/01/2018 01:00,3.31,3.56,0.0,0.0,68.09,100.0,2018-01-01T01:00:00.0,-10.9,88.8
01/01/2018 01:15,3.82,4.5,0.0,0.0,64.72,100.0,2018-01-01T01:15:00.0,-13.4,86.5
01/01/2018 01:30,3.28,3.56,0.0,0.0,67.76,100.0,2018-01-01T01:30:00.0,-12.5,89.4
01/01/2018 01:45,3.6,4.14,0.0,0.0,65.62,100.0,2018-01-01T01:45:00.0,-14.0,85.1
01/01/2018 02:00,3.6,4.28,0.0,0.0,64.37,100.0,2018-01-01T02:00:00.0,-10.0,82.5
01/01/2018 02:15,3.28,3.64,0.0,0.0,66.94,100.0,2018-01-01T02:15:00.0,-11.4,89.5
01/01/2018 02:30,3.78,4.72,0.0,0.0,62.51,100.0,2018-01-01T02:30:00.0,-10.3,92.6
01/01/2018 02:45,3.46,4.03,0.0,0.0,65.14,100.0,2018-01-01T02:45:00.0,-12.8,91.1
01/01/2018 03:00,3.24,3.64,0.0,0.0,66.49,100.0,2018-01-01T03:00:00.0,-8.4,93.7
01/01/2018 03:15,3.96,4.97,0.0,0.0,62.32,100.0,2018-01-01T03:15:00.0,-8.4,84.4
01/01/2018 03:30,3.31,3.74,0.0,0.0,66.27,100.0,2018-01-01T03:30:00.0,-11.9,93.7
01/01/2018 03:45,3.31,3.85,0.0,0.0,65.19,100.0,2018-01-01T03:45:00.0,-13.6,88.7
01/01/2018 04:00,3.89,5.0,0.0,0.0,61.4,100.0,2018-01-01T04:00:00.0,-12.8,91.9
01/01/2018 04:15,3.28,3.82,0.0,0.0,65.14,100.0,2018-01-01T04:15:00.0,-11.5,89.5
01/01/2018 04:30,3.56,4.28,0.0,0.0,63.95,100.0,2018-01-01T04:30:00.0,-11.6,86.4
01/01/2018 04:45,3.74,4.54,0.0,0.0,63.58,100.0,2018-01-01T04:45:00.0,-12.6,84.4
01/01/2018 05:00,3.31,3.6,0.0,0.0,67.68,100.0,2018-01-01T05:00:00.0,-10.8,90.4
01/01/2018 05:15,3.56,4.07,0.0,0.0,65.84,100.0,2018-01-01T05:15:00.0,-12.0,82.3
01/01/2018 05:30,3.56,4.1,0.0,0.0,65.56,100.0,2018-01-01T05:30:00.0,-13.5,92.8
01/01/2018 05:45,3.28,3.49,0.0,0.0,68.48,100.0,2018-01-01T05:45:00.0,-11.6,86.9
01/01/2018 06:00,3.78,4.32,0.0,0.0,65.85,100.0,2018-01-01T06:00:00.0,-11.1,87.7
01/01/2018 06:15,3.35,3.64,0.0,0.0,67.72,100.0,2018-01-01T06:15:00.0,-9.1,86.6
01/01/2018 06:30,3.24,3.35,0.0,0.0,69.52,100.0,2018-01-01T06:30:00.0,-12.3,83.6
01/01/2018 06:45,3.89,4.46,0.0,0.0,65.73,100.0,2018-01-01T06:45:00.0,-10.5,90.1
01/01/2018 07:00,3.31,3.53,0.0,0.0,68.4,100.0,2018-01-01T07:00:00.0,-10.1,89.4
01/01/2018 07:15,3.28,3.49,0.0,0.0,68.48,100.0,2018-01-01T07:15:00.0,-14.3,91.7
01/01/2018 07:30,3.85,4.75,0.0,0.0,62.97,100.0,2018-01-01T07:30:00.0,-9.6,81.8
01/01/2018 07:45,3.2,3.6,0.0,0.0,66.44,100.0,2018-01-01T07:45:00.0,-12.0,92.9
01/01/2018 08:00,3.31,3.78,0.0,0.0,65.88,100.0,2018-01-01T08:00:00.0,-10.7,86.2
01/01/2018 08:15,3.78,4.75,0.0,0.0,62.27,100.0,2018-01-01T08:15:00.0,-5.5,90.8
01/01/2018 08:30,3.28,3.74,0.0,0.0,65.94,100.0,2018-01-01T08:30:00.0,-7.1,85.0
01/01/2018 08:45,3.49,4.46,0.18,0.0,61.63,99.87,2018-01-01T08:45:00.0,-8.2,88.3
01/01/2018 09:00,3.89,0.0,15.66,0.0,100.0,24.11,2018-01-01T09:00:00.0,-9.9,87.1
01/01/2018 09:15,3.6,0.0,16.96,0.0,100.0,20.76,2018-01-01T09:15:00.0,-11.0,85.4
01/01/2018 09:30,4.03,0.0,21.28,0.0,100.0,18.61,2018-01-01T09:30:00.0,-8.6,81.5
01/01/2018 09:45,3.92,0.0,19.22,0.0,100.0,19.98,2018-01-01T09:45:00.0,-9.6,86.2
